TOI,st_age
398.01,1.7
114.01,6.4
423.01,5.0
1148.01,0.78
1151.01,0.2
1682.01,1.3
1612.01,1.18
1165.01,6.4
112.01,8.0
2403.01,5.3
201.01,0.87
4606.01,7.1
135.01,1.31
1465.01,4.5
1651.01,1.88
1924.01,0.8
471.01,0.9
1150.01,0.3
780.01,9.8
163.01,1.823
1456.01,4.3
107.01,2.7
1259.01,4.8
1573.01,3.38
2579.01,8.3
2126.01,0.9
1725.01,2.0
1271.01,4.6
1283.01,7.8
625.01,1.27
4486.01,1.5
1864.01,3.2
624.01,0.6
677.01,2.92
1198.01,1.6
1069.01,6.9
1936.01,2.5
267.01,1.4
767.01,0.1
150.01,2.346
2020.01,2.6
194.01,7.0
1826.01,7.3
1714.01,2.3
1909.01,3.96
1767.01,5.0
2197.01,1.9
1236.01,3.7
2014.01,1.24
905.01,3.4
828.01,4.5
2127.01,12.4
1721.01,2.1
404.01,2.7
822.01,0.5
769.01,11.3
4623.01,2.6
2464.01,9.75
818.01,2.3
781.01,9.7
1494.01,3.1
